,nome,preco,unidade
0,Abacate ,11.0,kg
1,Abacaxi,11.5,unidade
2,Banana Caturra ,4.166666666666667,kg
3,Banana Maçã ,7.9,kg
4,Banana Ouro ,6.0,kg
5,Banana Prata ,4.9,kg
6,Laranja Lima ,8.1,kg
7,Laranja Suco ,6.1,kg
8,Limão Taiti ,8.4,kg
9,Maçã Gala Importada,15.9,kg
10,Mamão Formosa ,11.5,kg
11,Manga ,11.8,kg
12,Maracujá ,11.0,kg
13,Melão ,10.5,kg
14,Morango ,32.8,kg
15,Ponkan ,7.1,kg
16,Couve-flor,4.95,unidade
17,Escarola,2.7,unidade
18,Escarola Roxa,2.8,unidade
19,Espinafre,3.5,unidade
20,Inhame ,7.1,kg
21,Mandioca ,6.5,kg
22,Ora pro Nobis,4.95,unidade
23,Pepino Japonês ,9.9,kg
24,Pinhão,11.285714285714286,kg
25,Rabanete,4.2,unidade
26,Repolho Branco,3.5,unidade
27,Repolho Roxo,3.7,unidade
28,Rúcula,4.95,unidade
29,Salsão,4.5,unidade
30,Salsinha,2.6,unidade
31,Tomate Cereja,15.0,kg
32,Tomate Italiano ,10.9,kg
33,Vagem comum orgânica,16.333333333333336,kg
34,Abóbora de pescoço orgânica,5.2,kg
35,Abobrinha orgânica,8.5,kg
36,Agrião,4.95,unidade
37,Alface Americana,2.85,unidade
38,Alface Crespa,2.7,unidade
39,Alface Lisa,2.7,unidade
40,Alface Mimosa,2.7,unidade
41,Alface Romana,2.7,unidade
42,Alface Roxa,2.7,unidade
43,Alho poró,2.5,unidade
44,Almeirão Pão de Açúcar,3.5,unidade
45,Batata Doce ,8.3,kg
46,Batata Inglesa ,9.0,kg
47,Berinjela ,8.1,kg
48,Beterraba,5.2,unidade
49,Brócolis japonês,4.65,unidade
50,Brócolis Rama,4.65,unidade
51,Cebola ,9.0,kg
52,Cebolinha,2.5,unidade
53,Cenoura,5.95,unidade
54,Chuchu ,7.1,kg
55,Coentro,2.7,unidade
56,Couve Chinesa,3.7,unidade
57,Couve Manteiga,3.5,unidade
