nome,preco,unidade
Abacate,7.00,unidade
Banana Prata,9.00,kg
Atemoia,9.00,unidade
Coco Seco,7.00,unidade
Coco Verde,6.00,unidade
Laranja Seleta,10.00,kg
Limão Galego,12.0,kg
Limão Siciliano,12.0,kg
Ovos,16.00,unidade
Alho Poró,5.50,unidade
Cenoura,13.0,kg
Chuchu,13.0,kg
Abóbora,11.0,kg
Abobrinha,13.333333333333334,kg
Açafrão,42.0,kg
Inhame,11.0,kg
Berinjela,13.0,kg
Brócolis Americano,28.333333333333336,kg
Brócolis Comum,7.00,unidade
Cebola,14.8,kg
Gengibre,42.0,kg
Beterraba,13.0,kg
Ovos,10.00,unidade
Pimentão Verde,20.0,kg
Rabanete,5.00,unidade
Repolho Roxo,7.00,unidade
Repolho Verde,6.50,unidade
Batata Doce,11.0,kg
Batata Inglesa,13.0,kg
Tomate Grape,41.666666666666664,kg
Tomate,18.0,kg
Mamão,12.00,unidade
Manga,13.333333333333334,kg
Maracujá,16.0,kg
Melão,12.00,kg
Tangerina Pokan,14.0,kg
Morango,52.0,kg
Couve Chinesa,5.50,unidade
Limão Thaiti,12.0,kg
Agrião,4.00,unidade
Alface Crespa,4.00,unidade
Alface Lisa,4.00,unidade
Alface Roxa,4.00,unidade
Alface Romana,4.00,unidade
Capim Limão,4.00,unidade
Cheiro Verde,4.00,unidade
Chicória,4.00,unidade
Coentro,4.00,unidade
Couve,4.00,unidade
Espinafre,4.00,unidade
Manjericão,4.00,unidade
Mostarda,4.00,unidade
Rúcula,4.00,unidade
Salsinha,4.00,unidade
Feijão Preto 500g,18.0,kg
Feijão Carioca 500g,18.0,kg
Mix de Temperos,6.50,unidade
Aipim Descascado,15.0,kg
Palmito Pupunha,37.142857142857146,kg
Capuchinha,4.00,unidade
Couve Kale,4.00,unidade
Erva Cidreira,4.00,unidade
Hortelã,4.00,unidade
Erva Doce,4.00,unidade
Mix de Chá,4.00,unidade
Peixinho da Horta,4.00,unidade
Maçã,20.0,kg
Feijão Vermelho 500g,24.0,kg
Abacaxi,14.00,unidade
Café Abraço Moído - Produtora Josilene,112.0,kg
Café Abraço em Grãos - Produtora Josilene,112.0,kg
Café Abraço Moído - Produtora Regina,112.0,kg
Barra de Cacau e Banana,7.50,unidade
Ovos,16.00,unidade
Alho Poró,5.50,unidade
Cenoura,13.0,kg
Chuchu,13.0,kg
Abóbora,11.0,kg
Abobrinha,13.333333333333334,kg
Açafrão,42.0,kg
Inhame,11.0,kg
Berinjela,13.0,kg
Brócolis Americano,28.333333333333336,kg
Brócolis Comum,7.00,unidade
Cebola,14.8,kg
Gengibre,42.0,kg
Beterraba,13.0,kg
Ovos,10.00,unidade
Pimentão Verde,20.0,kg
Rabanete,5.00,unidade
Repolho Roxo,7.00,unidade
Repolho Verde,6.50,unidade
Batata Doce,11.0,kg
Batata Inglesa,13.0,kg
Couve Chinesa,5.50,unidade
Aipim Descascado,15.0,kg
Palmito Pupunha,37.142857142857146,kg
Feijão Preto 500g,18.0,kg
Feijão Carioca 500g,18.0,kg
Feijão Vermelho 500g,24.0,kg
Café Abraço Moído - Produtora Josilene,112.0,kg
Café Abraço em Grãos - Produtora Josilene,112.0,kg
Café Abraço Moído - Produtora Regina,112.0,kg
Barra de Cacau e Banana,7.50,unidade
Abacate,7.00,unidade
Banana Prata,9.00,kg
Atemoia,9.00,unidade
Coco Seco,7.00,unidade
Coco Verde,6.00,unidade
Laranja Seleta,10.00,kg
Limão Galego,12.0,kg
Limão Siciliano,12.0,kg
Tomate Grape,41.666666666666664,kg
Tomate,18.0,kg
Mamão,12.00,unidade
Manga,13.333333333333334,kg
Maracujá,16.0,kg
Melão,12.00,kg
Tangerina Pokan,14.0,kg
Morango,52.0,kg
Limão Thaiti,12.0,kg
Maçã,20.0,kg
Abacaxi,14.00,unidade
Agrião,4.00,unidade
Alface Crespa,4.00,unidade
Alface Lisa,4.00,unidade
Alface Roxa,4.00,unidade
Alface Romana,4.00,unidade
Capim Limão,4.00,unidade
Cheiro Verde,4.00,unidade
Chicória,4.00,unidade
Coentro,4.00,unidade
Couve,4.00,unidade
Espinafre,4.00,unidade
Manjericão,4.00,unidade
Mostarda,4.00,unidade
Rúcula,4.00,unidade
Salsinha,4.00,unidade
Mix de Temperos,6.50,unidade
Capuchinha,4.00,unidade
Couve Kale,4.00,unidade
Erva Cidreira,4.00,unidade
Hortelã,4.00,unidade
Erva Doce,4.00,unidade
Mix de Chá,4.00,unidade
Peixinho da Horta,4.00,unidade
